Real Estate,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,Apr-28,, £-   ,,,,,,,,,,,,,,,,,,,,
,May-28,, £-   ,,,,,,,,,,,,,,,,,,,,
,Jun-28,, £-   ,,,,,,,,,,,,,,,,,,,,
,Jul-28,, £-   ,,,,,,,,,,,,,,,,,,,,
,Aug-28,, £-   ,,,,,,,,,,,,,,,,,,,,
,Sep-28,, £-   ,,,,,,,,,,,,,,,,,,,,
,Oct-28,, £-   ,,,,,,,,,,,,,,,,,,,,
,Nov-28,, £-   ,,,,,,,,,,,,,,,,,,,,
,Dec-28,, £-   ,,,,,,,,,,,,,,,,,,,,
,Jan-29,, £-   ,,,,,,,,,,,,,,,,,,,,
,Feb-29,, £-   ,,,,,,,,,,,,,,,,,,,,
,Mar-29,, £-   ,,,,,,,,,,,,,,,,,,,,
,Apr-29,, £-   ,,,,,,,,,,,,,,,,,,,,
,May-29,, £-   ,,,,,,,,,,,,,,,,,,,,
,Jun-29,, £-   ,,,,,,,,,,,,,,,,,,,,
,Jul-29,, £-   ,,,,,,,,,,,,,,,,,,,,
,Aug-29,, £-   ,,,,,,,,,,,,,,,,,,,,
,Sep-29,, £-   ,,,,,,,,,,,,,,,,,,,,
,Oct-29,, £-   ,,,,,,,,,,,,,,,,,,,,
,Nov-29,, £-   ,,,,,,,,,,,,,,,,,,,,
,Dec-29,, £-   ,,,,,,,,,,,,,,,,,,,,
,Jan-30,, £-   ,,,,,,,,,,,,,,,,,,,,
,Feb-30,, £-   ,,,,,,,,,,,,,,,,,,,,
,Mar-30,, £-   ,,,,,,,,,,,,,,,,,,,,
,Apr-30,, £-   ,,,,,,,,,,,,,,,,,,,,
,May-30,, £-   ,,,,,,,,,,,,,,,,,,,,
,Jun-30,, £-   ,,,,,,,,,,,,,,,,,,,,
,Jul-30,, £-   ,,,,,,,,,,,,,,,,,,,,
,Aug-30,, £-   ,,,,,,,,,,,,,,,,,,,,
,Sep-30,, £-   ,,,,,,,,,,,,,,,,,,,,
,Oct-30,, £-   ,,,,,,,,,,,,,,,,,,,,
,Nov-30,, £-   ,,,,,,,,,,,,,,,,,,,,
,Dec-30,, £-   ,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
