Pensions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Portfolio,,,,,,Ledger,,,,,,,Fidelity,,,,,,,,,,Funds Tracker,,,,,,,,,
,Accounts,Balance,Investment,Profit/Loss,% Interest,,Date,Account,Investment,Interest,Quantity,P&L,,Fund/Share,Quantity,Value / Share,Current Value,Purchase Price,Profit/Loss,Profit/Loss %,Category,,Reference,Stock,Price,,,,,,,,
,,,,,,,31/12/2021, BlackRock Consensus 85 I Acc, £318.84 , £22.19 ,,,,,0.00,£0.00,£0.00,£0.00,£0.00,0.0%,F&S,,Ishares Global Bonds,Ishares Global Bonds,£1.18,,,,,,,,
,,,,,,,31/01/2022, BlackRock Consensus 85 I Acc, £318.84 , £22.19 ,,,,,0.00,£0.00,£0.00,£0.00,£0.00,0.0%,F&S,,,Ishares US Bonds 20+ Years,£2.41,,,,,,,,
,,,,,,,28/02/2022, BlackRock Consensus 85 I Acc, £310.84 , £22.19 ,,,,Fidelity Cash,"2,520.99",£0.00,"£2,520.99","£2,520.99",£0.00,0.0%,Bonds,,,HL Growth Fund,£1.33,,,,,,,,
,,,,,,,31/03/2022, BlackRock Consensus 85 I Acc, £298.84 , £22.19 ,,,,Total,,,"£45,087.04","£36,302.64","£8,784.40",24.2%,,,PLC Russell 2000,PLC Russell 2000,56.79,,,,,,,,
,,,,,,,30/04/2022, HL Growth Fund, £225.00 , £22.19 ,"8,981.39",,,,,,,,,,,,,STRATEGY INC (XNAS:MSTR),$133.88,,,,,,,,
,,,,,,,31/05/2022, HL Growth Fund, £318.84 , £22.19 ,,,,Aviva,,,,,,,,,,iShares MSCI Turkey ETF USD D (XLON:ITKY),£17.59,,,,,,,,
,,,,,,,30/06/2022, HL Growth Fund, £318.84 , £22.19 ,,,,Fund/Share,Quantity,Value / Share,Current Value,Purchase Price,Profit/Loss,Profit/Loss %,Category,,,L&G PMC 2045 - 2050 Target Date Fund 3,£17.84,,,,,,,,
,,,,,,,31/07/2022, HL Growth Fund, £318.84 , £22.19 ,,,,Aviva Pensions BlackRock US Equity Index Tracker S6,0.00,£10.97,£0.00,"-£1,937.24","£1,937.24",31.7%,F&S,,Fidelity Ishares Physical Silver ETC,ISHARES PHYSICAL SILVER ETC (XLON:SSLN),£54.50,,,,,,,,
,,,,,,,31/08/2022, HL Growth Fund, £318.84 , £22.19 ,,,,Aviva Pensions International Index Tracking S2,0.00,£10.54,£0.00,"-£1,974.45","£1,974.44",32.7%,F&S,,,,,,,,,,,,
,,,,,,,30/09/2022, HL Growth Fund, £318.84 , £22.19 ,,,,Total,,,£0.00,"-£3,911.69","£3,911.69",32.2%,,,,,,,,,,,,,
,,,,,,,31/10/2022, HL Growth Fund, £318.84 , £22.19 ,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,30/11/2022, HL Growth Fund, £318.84 , £22.19 ,,,,Hargreaves Lansdown,,,,,,,,,,,,,,,,,,,
,,,,,,,31/12/2022, HL Growth Fund, £318.84 , £22.19 ,,,,Fund/Share,Quantity,Value / Share,Current Value,Purchase Price,Profit/Loss,Profit/Loss %,Category,,,,,,,,,,,,
,,,,,,,31/01/2023, HL Growth Fund, £318.84 , £22.19 ,,,,HL Growth Fund,"13,997.93",£1.33,"£18,667.64","£14,401.65","£4,265.99",29.6%,F&S,,,,,,,,,,,,
,,,,,,,28/02/2023, HL Growth Fund, £318.84 , £22.19 ,,,,Microstrategy - MSTR,17.00,£98.12,"£1,668.05",£709.57,£958.48,135.1%,F&S,,,,,,,,,,,,
,,,,,,,31/03/2023, HL Growth Fund, £318.84 , £22.19 ,,,,HL Ishares Physical Silver ETC,128.00,£54.50,"£6,976.00","£2,947.68","£4,028.32",136.7%,F&S,,,,,,,,,,,,
,,,,,,,30/04/2023, HL Growth Fund, £318.84 , £22.19 ,,,,HL Cash,22.67,£1.00,£22.67,£22.67,£0.00,0.0%,Bonds,,,,,,,,,,,,
,,,,,,,31/05/2023, HL Growth Fund, £318.84 , £22.19 ,,,,Total,,,"£27,334.37","£18,081.57","£9,252.80",51.2%,,,,,,,,,,,,,
,,,,,,,30/06/2023, HL Growth Fund, £318.84 , £22.19 ,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,31/07/2023, HL Growth Fund, £318.84 , £22.19 ,,,,Legal & General,,,,,,,,,,,,,,,,,,,
,,,,,,,31/08/2023, HL Growth Fund, £318.84 , £22.19 ,,,,Fund/Share,Quantity,Value / Share,Current Value,Purchase Price,Profit/Loss,Profit/Loss %,Category,,,,,,,,,,,,
,,,,,,,30/09/2023, HL Growth Fund, £318.84 , £22.19 ,,,,L&G PMC 2045 - 2050 Target Date Fund 3,691.09,£17.84,"£12,327.74","£10,735.03","£1,592.71",14.8%,F&S,,,,,,,,,,,,
,,,,,,,31/10/2023, HL Growth Fund, £318.84 , £22.19 ,,,,Total,691.09,£17.84,"£12,327.74","£10,735.03","£1,592.71",14.8%,,,,,,,,,,,,,
,,,,,,,30/11/2023, HL Growth Fund, £318.84 , £22.19 ,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,31/12/2023, HL Growth Fund, £318.84 , £22.19 ,,,,Category Summary,,,,,,,,,,,,,,,,,,,
,,,,,,,31/01/2024, HL Growth Fund, £318.84 , £22.19 ,,,,Fund/Share,Quantity,Value / Share,Current Value,Purchase Price,Profit/Loss,Profit/Loss %,Category,,,,,,,,,,,,
,,,,,,,31/05/2022, LG, £180.00 , £21.45 ,,,,F&S,"23,463.02",£3.50,"£82,205.49","£58,663.89","£23,541.60",40.1%,F&S,,,,,,,,,,,,
,,,,,,,30/06/2022, LG, £180.00 , £21.45 ,,,,Bonds,"2,543.66",£1.00,"£2,543.66","£2,543.66",£0.00,0.0%,Bonds,,,,,,,,,,,,
,,,,,,,31/07/2022, LG, £180.00 , £21.45 ,,,,Total,,,"£84,749.15","£61,207.55","£23,541.60",38.5%,,,,,,,,,,,,,
,,,,,,,31/08/2022, LG, £180.00 , £21.45 ,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,30/09/2022, LG, £180.00 , £21.45 ,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,31/10/2022, LG, £180.00 , £21.45 ,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,30/11/2022, LG, £180.00 , £21.45 ,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,31/12/2022, LG, £180.00 , £21.45 ,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,31/01/2023, LG, £180.00 , £21.45 ,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,28/02/2023, LG, £180.00 , £21.45 ,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,31/03/2023, LG, £180.00 , £21.45 ,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,30/04/2023, LG, £180.00 , £21.45 ,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,31/05/2023, LG, £180.00 , £21.45 ,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,30/06/2023, LG, £253.50 , £21.45 ,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,31/07/2023, LG, £253.50 , £21.45 ,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,31/08/2023, LG, £253.50 , £21.45 ,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,30/09/2023, LG, £253.50 , £21.45 ,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,31/10/2023, LG, £253.50 , £21.45 ,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,30/11/2023, LG, £253.50 , £21.45 ,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,31/12/2023, LG, £253.50 , £21.45 ,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,31/01/2024, LG, £253.50 , £21.45 ,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,29/02/2024, LG, £253.50 ,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,29/02/2024, HL Growth Fund, £318.84 ,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,29/02/2024, OAB Prev," £5,140.41 "," £3,146.71 ",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,21/03/2024,HSBC FTSE All-World Index," £2,000.00 ",,689.89,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,31/03/2024, LG, £253.50 ,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,31/03/2024, HL Growth Fund, £318.84 , £475.48 ,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,31/03/2024, OAB Prev, £57.73 ,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,21/03/2024,Fidelity Index US Fund P-Acc," £3,499.97 ",,801.06,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,21/03/2024,Fidelity Index Europe ex UK Fund P-Accumulation," £2,000.00 ",,890.63,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,21/03/2024,Fidelity Funds - Global Technology," £4,500.01 ",,569.23,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,30/04/2024, LG, £253.50 ,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,30/04/2024, HL Growth Fund, £318.84 ,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,30/04/2024, OAB Prev, £57.73 ,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,10/05/2024,HSBC FTSE All-World Index," £2,017.55 ",,681.37,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,10/05/2024,Fidelity Index US Fund P-Acc," £2,000.00 ",,453.96,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,31/05/2024, LG, £253.50 ,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,31/05/2024, HL Growth Fund, £318.84 ,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,31/05/2024, OAB Prev, £57.73 ,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,31/05/2024,Ishares Physical Gold, £967.34 ,,26.00,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,31/05/2024,Ishares Global Bonds, £100.00 ,,84.78,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,30/06/2024, LG, £253.50 ,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,30/06/2024, HL Growth Fund, £318.84 ,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,30/06/2024, OAB Prev, £55.43 ,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,01/07/2024,Ishares US Bonds 20+ Years," £1,398.44 ",,559.00,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,16/07/2024,PLC Russell 2000," £1,445.33 ",,30.00,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,30/07/2024, LG, £253.50 ,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,30/07/2024, HL Growth Fund, £318.84 ,,289.30,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,30/07/2024, OAB Prev, £54.96 ,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,31/07/2024, BlackRock Consensus 85 I Acc,"-£3,600.08 ",,"-1,159.56",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,31/07/2024,HL Growth Fund,-£200.00 ,,-149.97,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,31/07/2024,Microstrategy - MSTR," £3,774.03 ",,30.00,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,24/08/2024, LG, £253.50 ,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,24/08/2024, HL Growth Fund, £318.84 ,,289.62,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,24/08/2024, OAB Prev, £54.96 ,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,27/08/2024,Fidelity Funds - Global Technology,"-£4,658.01 ",,-569.23,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,30/08/2024,Ishares Global Bonds," £2,300.00 ",,"1,916.93",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,02/09/2024,Ishares US Bonds 20+ Years," £2,381.61 ",,875.00,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,20/09/2024, LG, £253.50 ,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,20/09/2024, HL Growth Fund, £329.93 ,,297.77,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,20/09/2024, OAB Prev, £54.96 ,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,02/10/2024,Ishares Physical Gold,-£996.58 ,,-26.00,£26.00,,,,,,,,,,,,,,,,,,,,,
,,,,,,,02/10/2024,Ishares US Bonds 20+ Years, £996.58 ,,358.00,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,16/10/2024, LG, £253.50 ,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,16/10/2024, HL Growth Fund, £318.84 ,,285.67,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,16/10/2024, OAB Prev, £54.96 ,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,24/10/2024,PLC Russell 2000,"-£1,476.95 ",,-30.00,£30.00,,,,,,,,,,,,,,,,,,,,,
,,,,,,,24/10/2024,Fidelity Index US Fund P-Acc,"-£6,006.96 ",,"-1,255.02",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,28/10/2024, MSCI Turkey," £2,499.59 ",,170.00,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,29/10/2024,Microstrategy - MSTR,"-£2,974.54 ",,-15.00,"£1,087.53",,,,,,,,,,,,,,,,,,,,,
,,,,,,,04/11/2024,Fidelity Index US Fund P-Acc," £1,250.00 ",,266.10,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,04/11/2024,Fidelity Funds - Global Technology," £1,250.07 ",,148.06,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,15/11/2024,Fidelity Ishares Physical Silver ETC," £2,463.76 ",,107.00,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,15/11/2024,HL Ishares Physical Silver ETC," £2,947.68 ",,128.00,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,21/11/2024,Ishares US Bonds 20+ Years,"-£4,772.53 ",,"-1,792.00",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,21/11/2024, LG, £253.50 ,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,21/11/2024, HL Growth Fund, £318.84 ,,278.66,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,21/11/2024, OAB Prev, £54.96 ,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,21/11/2024,Microstrategy - MSTR,"-£3,306.10 ",,-8.00,"£2,299.69",,,,,,,,,,,,,,,,,,,,,
,,,,,,,22/11/2024,Microstrategy - MSTR," £3,116.69 ",,9.00,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,25/11/2024,Microstrategy - MSTR,"-£5,181.07 ",,-16.00,"£1,404.27",,,,,,,,,,,,,,,,,,,,,
,,,,,,,26/11/2024,Microstrategy - MSTR," £5,280.56 ",,17.00,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,06/12/2024, MSCI Turkey,"-£2,774.12 ",,-170.00,£274.73,,,,,,,,,,,,,,,,,,,,,
,,,,,,,18/12/2024,Ishares US Bonds 20+ Years," £5,000.00 ",,"1,923.00",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,19/12/2024, LG, £253.50 ,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,19/12/2024, HL Growth Fund, £318.84 ,,270.98,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,19/12/2024, OAB Prev, £54.96 ,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,24/12/2024,Fidelity Index US Fund P-Acc," £2,554.04 ",,506.13,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,22/01/2025,L&G PMC 2045 - 2050 Target Date Fund 3," £7,611.91 ",,551.70,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,22/01/2025, HL Growth Fund, £318.84 ,,268.29,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,22/01/2025, OAB Prev, £54.96 ,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,17/02/2025,L&G PMC 2045 - 2050 Target Date Fund 3, £260.26 ,,16.18,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,17/02/2025, OAB Prev, £54.96 ,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,17/02/2025, HL Growth Fund, £318.84 ,,262.29,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,18/02/2025,Ishares US Bonds 20+ Years,"-£4,965.72 ",,"-1,923.00",-£34.28,,,,,,,,,,,,,,,,,,,,,
,,,,,,,27/03/2025,L&G PMC 2045 - 2050 Target Date Fund 3, £260.26 ,,16.18,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,27/03/2025, OAB Prev, £54.96 ,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,27/03/2025, HL Growth Fund, £318.84 ,,278.98,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,27/03/2025,Fidelity Index US Fund P-Acc," £2,500.00 ",,517.70,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,27/03/2025,HSBC FTSE All-World Index," £2,469.00 ",,776.41,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,23/04/2025,L&G PMC 2045 - 2050 Target Date Fund 3, £260.26 ,,16.18,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,23/04/2025, OAB Prev, £54.96 ,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,23/04/2025, HL Growth Fund, £318.84 ,,296.71,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,19/05/2025,L&G PMC 2045 - 2050 Target Date Fund 3, £260.26 ,,15.42,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,19/05/2025, OAB Prev, £54.96 ,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,19/05/2025, HL Growth Fund, £318.84 ,,296.71,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,30/05/2025,Aviva Pensions BlackRock US Equity Index Tracker S6,"-£8,057.03 ",,-865.42,"£1,937.24",,,,,,,,,,,,,,,,,,,,,
,,,,,,,30/05/2025,Aviva Pensions International Index Tracking S2,"-£8,017.74 ",,-904.94,"£1,974.44",,,,,,,,,,,,,,,,,,,,,
,,,,,,,30/06/2025,L&G PMC 2045 - 2050 Target Date Fund 3, £260.26 ,,15.42,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,30/06/2025, OAB Prev, £54.96 ,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,30/06/2025, HL Growth Fund, £321.06 ,,276.68,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,31/07/2025,L&G PMC 2045 - 2050 Target Date Fund 3, £260.26 ,,15.42,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,31/07/2025, OAB Prev, £54.96 ,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,31/07/2025, HL Growth Fund, £321.06 ,,269.01,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,22/08/2025,L&G PMC 2045 - 2050 Target Date Fund 3, £260.26 ,,15.42,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,22/08/2025, OAB Prev, £54.96 ,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,22/08/2025, HL Growth Fund, £321.06 ,,262.35,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,22/08/2025,Fidelity Index US Fund P-Acc," £4,000.50 ",,780.07,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,22/08/2025,Fidelity Index Europe ex UK Fund P-Accumulation," £4,000.00 ",,"1,584.47",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,22/08/2025,HSBC FTSE All-World Index," £8,106.00 ",,"2,372.26",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,22/08/2025,Ishares Global Bonds,"-£2,377.52 ",,"-2,001.71",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,28/08/2025,PLC Russell 2000," £2,367.34 ",,46.00,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,16/09/2025,L&G PMC 2045 - 2050 Target Date Fund 3, £260.26 ,,14.59,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,16/09/2025, OAB Prev, £54.96 ,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,16/09/2025, HL Growth Fund, £321.06 ,,257.26,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,16/10/2025,L&G PMC 2045 - 2050 Target Date Fund 3, £260.26 ,,14.59,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,16/10/2025, OAB Prev, £54.96 ,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,16/10/2025, HL Growth Fund, £321.06 ,,252.41,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,03/11/2025,PLC Russell 2000,"-£2,500.00 ",,-46.00,£132.66,,,,,,,,,,,,,,,,,,,,,
,,,,,,,16/11/2025,L&G PMC 2045 - 2050 Target Date Fund 3, £260.26 ,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,16/11/2025, OAB Prev, £54.96 ,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,16/11/2025, HL Growth Fund, £321.06 ,,246.10,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,23/12/2025,L&G PMC 2045 - 2050 Target Date Fund 3, £260.26 ,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,23/12/2025, OAB Prev, £54.96 ,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,23/12/2025, HL Growth Fund, £321.06 ,,245.80,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,21/01/2026,L&G PMC 2045 - 2050 Target Date Fund 3, £260.26 ,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,21/01/2026, OAB Prev, £54.96 ,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,21/01/2026, HL Growth Fund, £321.06 ,,241.94,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
