Fixed Income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Portfolio,,,,,,Ledger,,,,,,,,,,,,,,,,,,,,,,
,Accounts,Balance,Investment,ROI,% ROI,,Date,Account,Investment,Interest,Shares,$/Share,,,,,,,,,,,,,,,,,
,,,,,,,30/08/2024, Santander,R$0.00,"R$1,442.00",,,,,,,,,,,,,,,,,,,
,,,,,,,30/08/2024, XP,R$0.00,"R$2,625.00",,,,,,,,,,,,,,,,,,,
,,,,,,,30/08/2024, Inter,"R$1,201.42",R$448.61,,,,,,,,,,,,,,,,,,,
,,,,,,,05/09/2024, Inter,"-R$1,773.53",R$0.00,,,,,,,,,,,,,,,,,,,
,,,,,,,01/10/2024, XP,R$0.00,"R$2,166.40",,,,,,,,,,,,,,,,,,,
,,,,,,,10/10/2024, Inter,"R$4,233.76",R$0.00,,,,,,,,,,,,,,,,,,,
,,,,,,,18/10/2024, Fidelity,"£1,500.00",£0.00,558,£2.69,,,,,,,,,,,,,,,,,
,,,,,,,01/11/2024, XP,R$0.00,"R$1,581.00",,,,,,,,,,,,,,,,,,,
,,,,,,,05/11/2024, Inter,"-R$3,246.81",R$0.00,,,,,,,,,,,,,,,,,,,
,,,,,,,21/11/2024, Fidelity,"-£1,485.96",£0.00,-558,£2.66,-£14.04,-0.9%,,,,,,,,,,,,,,,
,,,,,,,21/11/2024, Santander,"-R$30,710.00",R$0.00,,,,,,,,,,,,,,,,,,,
,,,,,,,21/11/2024, Inter,"R$31,314.57",R$0.00,,,,,,,,,,,,,,,,,,,
,,,,,,,29/11/2024, XP,R$0.00,"R$1,971.78",,,,,,,,,,,,,,,,,,,
,,,,,,,02/12/2024, Inter,"R$1,705.00",R$0.00,,,,,,,,,,,,,,,,,,,
,,,,,,,06/12/2024, Monzo,"£6,225.00",£25.00,,,,,,,,,,,,,,,,,,,
,,,,,,,27/12/2024, XP,"-R$13,955.00","R$1,376.00",,,,,,,,,,,,,,,,,,,
,,,,,,,04/01/2025, Inter,"-R$8,575.93",R$0.00,,,,,,,,,,,,,,,,,,,
,,,,,,,08/01/2025, Monzo,"£1,500.00",£12.00,,,,,,,,,,,,,,,,,,,
,,,,,,,03/02/2025, Inter,"-R$8,281.98",R$0.00,,,,,,,,,,,,,,,,,,,
,,,,,,,03/03/2025, XP,R$0.00,"R$2,363.87",,,,,,,,,,,,,,,,,,,
,,,,,,,03/03/2025, Monzo,"£3,700.00",£22.72,,,,,,,,,,,,,,,,,,,
,,,,,,,05/03/2025, Inter,"R$1,250.03",R$0.00,,,,,,,,,,,,,,,,,,,
,,,,,,,27/03/2025, Monzo,"£2,400.00",£31.86,,,,,,,,,,,,,,,,,,,
,,,,,,,31/03/2025, XP,R$0.00,"R$3,047.91",,,,,,,,,,,,,,,,,,,
,,,,,,,31/03/2025, Inter,R$320.00,R$950.00,,,,,,,,,,,,,,,,,,,
,,,,,,,04/04/2025, Inter,R$879.06,R$0.00,,,,,,,,,,,,,,,,,,,
,,,,,,,28/04/2025, Monzo,"£2,500.00",£40.18,,,,,,,,,,,,,,,,,,,
,,,,,,,30/04/2025, XP,R$0.00,"R$4,192.00",,,,,,,,,,,,,,,,,,,
,,,,,,,30/04/2025, Inter,R$0.00,"R$1,000.00",,,,,,,,,,,,,,,,,,,
,,,,,,,12/05/2025, Inter,R$383.62,R$0.00,,,,,,,,,,,,,,,,,,,
,,,,,,,22/05/2025, Monzo,"£40,633.62",£63.09,,,,,,,,,,,,,,,,,,,
,,,,,,,30/05/2025, XP,R$0.00,"R$4,568.45",,,,,,,,,,,,,,,,,,,
,,,,,,,30/05/2025, Inter,R$0.00,"R$3,510.00",,,,,,,,,,,,,,,,,,,
,,,,,,,02/06/2025, Monzo,"-£34,650.00",£0.00,,,,,,,,,,,,,,,,,,,
,,,,,,,02/06/2025, Inter,"R$1,430.74",R$0.00,,,,,,,,,,,,,,,,,,,
,,,,,,,26/06/2025, Monzo,"-£18,505.00",£51.44,,,,,,,,,,,,,,,,,,,
,,,,,,,30/06/2025, XP,R$0.00,"R$4,776.74",,,,,,,,,,,,,,,,,,,
,,,,,,,30/06/2025, Inter,R$0.00,R$969.00,,,,,,,,,,,,,,,,,,,
,,,,,,,07/07/2025, Inter,"R$2,117.35",R$0.00,,,,,,,,,,,,,,,,,,,
,,,,,,,29/07/2025, Monzo,"-£4,059.91",£10.00,,,,,,,,,,,,,,,,,,,
,,,,,,,31/07/2025, XP,R$0.00,"R$3,347.03",,,,,,,,,,,,,,,,,,,
,,,,,,,04/08/2025, Inter,"R$4,763.88",R$0.00,,,,,,,,,,,,,,,,,,,
,,,,,,,30/08/2025, XP,R$0.00,"R$3,507.00",,,,,,,,,,,,,,,,,,,
,,,,,,,05/09/2025, Inter,"-R$3,383.60",R$0.00,,,,,,,,,,,,,,,,,,,
,,,,,,,30/09/2025, XP,R$0.00,"R$4,808.00",,,,,,,,,,,,,,,,,,,
,,,,,,,03/10/2025, Inter,"-R$6,136.24",R$0.00,,,,,,,,,,,,,,,,,,,
,,,,,,,31/10/2025, XP,R$0.00,"R$4,112.00",,,,,,,,,,,,,,,,,,,
,,,,,,,04/11/2025, Inter,"R$3,606.82","R$2,688.90",,,,,,,,,,,,,,,,,,,
,,,,,,,10/11/2025, XP,"R$31,547.00","R$3,971.00",,,,,,,,,,,,,,,,,,,
,,,,,,,05/12/2025, Inter,"R$13,275.85",R$0.00,,,,,,,,,,,,,,,,,,,
,,,,,,,30/12/2025, XP,R$0.00,"R$5,028.00",,,,,,,,,,,,,,,,,,,
,,,,,,,05/01/2026, Inter,"-R$5,032.82",R$0.00,,,,,,,,,,,,,,,,,,,
,,,,,,,30/01/2026, XP,"-R$2,277.30","R$3,281.00",,,,,,,,,,,,,,,,,,,
,,,,,,,05/02/2026, Inter,"R$2,609.43",R$0.00,,,,,,,,,,,,,,,,,,,
,,,,,,,05/02/2026, XP,"-R$14,904.57",R$0.00,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
